연도,광역지자체,기초지자체,지역별 공급비중,신재생에너지 합계,재생에너지 합계,신에너지 합계,태양열,태양광,풍력,수력,해양,지열,수열,바이오,재생폐기물,연료전지,IGCC
2022,인천,강화군,2.6,"15,230","15,176",54,74,11533,0,0,0,1476,84,2009,0,54,0
2022,인천,계양구,1.4,"8,213","8,151",61,37,1956,0,0,0,121,0,6037,0,61,0
2022,인천,남동구,3.83,"22,475","22,297",178,75,6577,0,424,0,337,0,7774,7110,178,0
2022,인천,동구,12.2,"71,601","1,253","70,348",3,466,0,0,0,0,0,785,0,70348,0
2022,인천,미추홀구,12.71,"74,595","74,431",164,66,2408,0,0,0,803,0,71154,0,164,0
2022,인천,부평구,1.5,"8,790","8,790",-,10,1744,0,0,0,576,0,6459,0,0,0
2022,인천,서구,53.5,"313,975","98,108","215,866",49,13474,174,0,0,1057,0,61819,21536,215866,0
2022,인천,연수구,4.68,"27,465","27,254",211,31,3651,0,0,0,3318,0,5268,14987,211,0
2022,인천,옹진군,3.54,"20,801","20,786",15,147,5071,8088,6057,0,227,73,1123,0,15,0
2022,인천,중구,3.86,"22,636","22,504",132,19,9884,0,0,0,1353,0,5156,6091,132,0
2022,인천,기타,0.18,"1,044","1,038",6,33,362,1,0,0,642,0,0,0,6,0
2023,인천,강화군,2.5,"15,388","15,332",56,67,12178,0,0,0,1473,84,1529,0,56,0
2023,인천,계양구,1.0,"6,183","6,119",64,34,1990,0,0,0,121,0,3974,0,64,0
2023,인천,동구,11.44,"70,414","1,281","69,133",3,436,0,0,0,0,0,841,0,69133,0
2023,인천,미추홀구,10.02,"61,694","61,501",193,59,2057,0,0,0,754,0,58631,0,193,0
2023,인천,부평구,1.58,"9,722","9,707",15,14,2123,0,0,0,576,0,6994,0,15,0
2023,인천,서구,54.72,"336,834","110,500","226,334",55,15610,216,0,0,1198,0,68935,24485,226334,0
2023,인천,연수구,4.88,"30,071","29,824",247,41,3689,0,0,0,3044,0,5675,17374,247,0
2023,인천,옹진군,2.25,"13,861","13,846",15,133,4573,5046,2828,0,235,85,946,0,15,0
2023,인천,중구,7.77,"47,822","47,519",303,18,8920,0,0,0,1374,0,32460,4747,303,0
2023,인천,기타,0.16,986,980,6,23,314,1,0,0,642,0,0,0,6,0
2021,인천,강화군,2.31,"13,746","13,704",41,82,10156,0,0,0,1442,84,1940,0,41,0
2021,인천,계양구,1.34,"8,004","7,951",54,36,1575,0,0,0,121,0,6219,0,54,0
2021,인천,남동구,3.85,"22,964","22,833",131,75,5978,0,161,0,337,0,7687,8594,131,0
2021,인천,동구,10.25,"61,067","1,135","59,932",2,415,0,0,0,0,0,717,0,59932,0
2021,인천,미추홀구,11.31,"67,384","67,222",162,72,2091,0,0,0,633,0,64426,0,162,0
2021,인천,부평구,1.45,"8,640","8,640",-,10,1340,0,0,0,576,0,5766,947,0,0
2021,인천,서구,58.04,"345,713","87,215","258,498",52,11391,344,0,0,1050,0,55438,18940,258498,0
2021,인천,연수구,4.23,"25,173","25,042",131,27,2996,0,0,0,2317,0,4812,14890,131,0
2021,인천,옹진군,3.88,"23,114","23,099",15,163,4845,8070,8603,0,219,73,1039,86,15,0
2021,인천,중구,3.16,"18,853","18,814",39,18,7885,0,0,0,1328,0,5845,3739,39,0
2021,인천,기타,0.17,"1,031","1,025",6,39,342,1,0,0,642,0,0,0,6,0
